Equation 1,Equation 2,Value of X,Value of Y
5x + 9y = -20,6x + 7y = -5,5,-5
19x + 6y = 168,14x + 4y = 120,6,9
10x - 7y = 81,11x + 17y = 262,13,7
18x + 7y = 29,5x + 16y = -6,2,-1
x + y = 14,8x + 7y = 102,4,10
16x + 4y = 100,8x + 20y = 140,5,5
12x + 20y = 76,14x + 4y = 50,3,2
7x + 13y = 27,15x + 20y = 105,15,-6
13x - 10y = 44,8x + 11y = 130,8,6
x + 6y = 57,7x + 16y = 191,9,8
7x + 16y = 170,14x + 13y = 188,6,8
15x - 3y = 21,11x + 5y = 37,2,3
13x + 14y = 31,16x + 6y = 128,11,-8
20x + 7y = 5,11x + 5y = -3,2,-5
13x + 5y = 96,9x + 12y = 75,7,1
8x + 18y = 200,11x + 8y = 141,7,8
12x + 6y = 126,12x + 15y = 189,7,7
5x - 4y = 10,2x + 18y = 298,14,15
11x + 7y = 93,14x + 17y = 86,11,-4
14x - 18y = 30,16x + 2y = 260,15,10
17x + 20y = -12,8x + 6y = 8,4,-4
11x - 17y = 71,8x + 10y = 74,8,1
19x + 9y = 217,20x + 11y = 233,10,3
15x + 13y = 126,10x + 6y = 92,11,-3
20x - 15y = -85,5x + 10y = 75,1,7
12x + 5y = 94,12x + 18y = -36,12,-10
2x + 2y = 0,2x + 17y = -120,8,-8
3x + 15y = 27,20x + 14y = 94,4,1
14x + 15y = 187,2x + 15y = 91,8,5
5x + 4y = 51,7x + 15y = 109,7,4
19x + 2y = 58,4x + 12y = 128,2,10
19x - 2y = 131,18x + 2y = 128,7,1
7x + 10y = 0,3x + 4y = 2,10,-7
17x - 6y = 64,14x + 7y = 196,8,12
10x + 18y = 214,13x + 9y = 163,7,8
6x + 2y = 28,11x + 10y = 64,4,2
14x + 14y = 182,18x + 2y = 74,3,10
18x + 4y = 126,14x + 16y = 214,5,9
19x + y = 198,8x + 9y = 152,10,8
13x - 3y = 57,11x + 17y = 185,6,7
20x - 10y = 40,6x + 6y = 48,4,4
6x + 14y = 0,5x + 3y = 52,14,-6
15x - 18y = 60,8x + 13y = 145,10,5
3x + 4y = 34,6x + 13y = 88,6,4
8x + 17y = 81,7x + 5y = 61,8,1
12x + 9y = 162,x + y = 16,6,10
5x + 15y = 145,4x + 11y = 107,2,9
6x + 13y = -45,11x + 10y = 42,12,-9
13x + 3y = 33,14x + 12y = 18,3,-2
14x + 5y = 132,14x + 14y = 168,8,4
16x - 2y = 134,5x + 8y = 85,9,5
16x - 6y = -62,6x + 5y = 71,1,13
16x + 17y = 177,16x + 11y = 171,10,1
8x + 7y = 82,11x + 16y = 151,5,6
x + 12y = 34,3x + 16y = 62,10,2
4x - 4y = -16,8x + 15y = 83,1,5
20x + 7y = 67,14x + 15y = 57,3,1
6x - 11y = 2,10x + 18y = 76,4,2
4x + 14y = -10,4x + 9y = 15,15,-5
4x + 18y = 46,2x + 18y = 32,7,1
2x + 19y = -5,9x + 14y = 49,7,-1
3x + 9y = -18,11x + 17y = -2,6,-4
9x + 4y = 113,9x + 12y = 177,9,8
4x + 6y = -28,3x + 2y = -6,2,-6
4x + 9y = -15,3x + 8y = -20,12,-7
6x - 12y = -96,15x + 14y = 332,10,13
9x + 10y = 59,3x + 3y = 18,1,5
4x + 16y = 164,17x + y = 94,5,9
3x + 7y = 59,15x + 10y = 170,8,5
19x + 6y = 162,12x + 19y = 224,6,8
18x - 14y = -6,13x + 7y = 47,2,3
4x - 11y = -77,13x + 3y = 176,11,11
18x - 6y = 0,20x + 6y = 152,4,12
2x - 17y = -103,16x + 6y = 170,8,7
19x + 18y = 242,9x + 8y = 112,8,5
7x - 2y = 57,20x + 10y = 320,11,10
9x + 12y = 84,18x + 16y = 160,8,1
14x + 9y = 46,12x + 9y = 42,2,2
15x + 4y = 88,2x + 9y = 71,4,7
3x - 13y = -114,20x + 8y = 92,1,9
3x + 3y = 9,3x + 7y = 1,5,-2
10x + y = 99,17x + 5y = 198,9,9
6x - 3y = 45,19x + 15y = 412,13,11
9x + 16y = 3,7x + 11y = 11,11,-6
20x + 8y = 180,8x + 11y = 33,11,-5
2x + 19y = 94,6x + 4y = 70,9,4
15x + 19y = 55,18x + 4y = 160,10,-5
11x - 15y = 120,20x + 6y = 318,15,3
5x + 16y = 27,4x + 3y = 51,15,-3
7x + 17y = -156,17x + 17y = -136,2,-10
4x + 18y = 158,20x + 7y = 209,8,7
18x + 15y = 165,5x + 13y = 37,10,-1
15x + 2y = 112,20x + 3y = 148,8,-4
12x - 15y = -99,15x + 10y = 135,3,9
13x + 4y = 127,18x + 6y = 180,7,9
10x + 4y = 72,15x + 2y = 76,4,8
4x + 2y = 8,15x + 7y = 35,7,-10
20x + 17y = 117,5x + 7y = 32,5,1
x + 16y = 129,11x + 17y = 147,1,8
13x + 9y = 185,19x + 15y = 287,8,9
4x - 18y = -108,20x + 13y = 284,9,8
2x - 2y = 0,8x + 14y = 176,8,8
14x - 9y = 183,7x + 8y = 129,15,3
3x - 6y = -15,17x + 7y = 38,1,3
3x - 2y = 4,7x + 12y = 76,4,4
2x - 17y = -93,18x + 17y = 353,13,7
20x + 16y = 176,9x + 11y = 102,4,6
3x + 8y = 22,20x + 2y = 44,2,2
11x + 3y = 118,5x + 7y = 110,8,10
8x + 18y = 132,17x + 4y = 75,3,6
13x + 15y = 250,3x + 5y = 70,10,8
18x + 6y = 114,11x + 10y = 76,6,1
12x + 3y = 54,18x + 14y = 176,2,10
15x + 16y = 155,4x + 8y = 60,5,5
15x - 2y = 154,2x + 4y = 76,12,13
7x - 4y = -53,14x + 6y = 104,1,15
11x + 18y = 106,x + 14y = 22,8,1
7x - 8y = -16,18x + 20y = 324,8,9
10x - 13y = -85,20x + 3y = 265,11,15
2x + 12y = 128,18x + 7y = 243,10,9
16x - 11y = -8,11x + 12y = 151,5,8
18x - 2y = 224,15x + 17y = 280,13,5
6x + 14y = 96,7x + y = 20,2,6
6x + 12y = -36,2x + 19y = -162,14,-10
11x + 12y = 126,15x + 16y = 170,6,5
2x - 4y = -30,15x + 13y = 119,1,8
10x + 11y = 85,8x + 5y = 49,3,5
16x + 8y = 80,19x + 20y = 116,4,2
3x + 17y = -48,9x + 20y = -51,1,-3
14x + 2y = 138,8x + 19y = -64,11,-8
19x - 4y = 96,12x + 4y = 152,8,14
2x + 14y = 148,14x + 14y = 196,4,10
5x + 19y = 143,4x + 10y = 78,2,7
9x + 11y = 65,12x + 15y = 87,6,1
11x + y = 83,19x + 7y = 175,7,6
13x + 3y = 115,7x + 10y = 129,7,8
9x + 3y = 0,20x + 14y = -22,1,-3
16x + 3y = 17,9x + 7y = -17,2,-5
11x - 16y = -78,11x + 9y = 147,6,9
3x - 18y = -210,7x + 20y = 316,8,13
2x - 3y = -17,8x + 14y = 114,2,7
20x + 16y = 308,7x + 2y = 79,9,8
19x + 17y = 156,7x + 16y = 38,10,-2
6x + 8y = 74,11x + 17y = 152,3,7
17x + 10y = 233,16x + y = 152,9,8
15x + y = 108,18x + 15y = 171,7,3
16x - 7y = 129,13x + 6y = 210,12,9
8x + 17y = 242,20x + 5y = 230,9,10
9x - 4y = 115,11x + 14y = 235,15,5
9x + 18y = 36,9x + 2y = 116,14,-5
13x + 6y = 87,11x + 18y = 9,9,-5
4x + 16y = 164,3x + 8y = 83,1,10
13x + 18y = 45,13x + 11y = 73,9,-4
6x - 7y = -64,8x + 4y = 48,1,10
6x + 9y = -15,10x + 5y = 65,11,-9
x + 14y = 36,2x + y = 18,8,2
14x + 8y = 166,17x + 17y = 187,13,-2
x + 9y = 47,4x + 8y = 48,2,5
12x - 9y = 33,15x + 20y = 510,14,15
6x + 14y = 48,18x + 19y = 213,15,-3
6x - 7y = 19,10x + 11y = 145,9,5
17x + 7y = 96,x + 19y = 80,4,4
20x + 18y = 266,3x + 9y = 84,7,7
16x + 18y = -110,8x + 11y = -69,1,-7
19x - 6y = -35,2x + 10y = 92,1,9
20x + 8y = 72,12x + 18y = -36,6,-6
10x - 2y = 58,2x + 15y = 27,6,1
x + 19y = 137,5x + 6y = 62,4,7
6x - 2y = 56,18x + 6y = 300,13,11
18x + 5y = 190,17x + 19y = 208,10,2
7x + y = 37,19x + 4y = 112,4,9
x + 17y = 75,18x + 7y = 154,7,4
20x + 5y = 95,2x + 13y = -53,6,-5
3x - 17y = -128,20x + 7y = 350,14,10
15x + 9y = 150,3x + 20y = 121,7,5
7x - 17y = 12,16x + 6y = 162,9,3
3x - 11y = -105,18x + 18y = 378,9,12
3x + 11y = -56,3x + 12y = -63,7,-7
4x - 16y = -104,18x + 7y = 322,14,10
4x - 13y = -90,3x + 15y = 180,10,10
6x + 11y = 21,17x + 19y = 96,9,-3
2x + y = 21,x + 3y = 13,10,1
14x + 4y = 180,14x + 11y = 250,10,10
13x + 5y = 81,17x + 15y = 89,7,-2
8x - 14y = -38,5x + 15y = 95,4,5
9x - 14y = -150,17x + 3y = 70,2,12
16x + 7y = 139,9x + 20y = 30,10,-3
2x + 10y = -28,15x + 18y = -39,1,-3
19x + 18y = 2,14x + 6y = 16,2,-2
3x + 5y = -34,18x + 5y = -4,2,-8
9x + 19y = 122,20x + 2y = 70,3,5
14x + 10y = 150,9x + y = 91,10,1
13x + 11y = -36,9x + 12y = -60,4,-8
16x + 12y = 164,15x + 15y = 165,8,3
5x - 18y = -222,15x + 12y = 258,6,14
3x + 7y = 40,15x + 8y = 92,4,4
3x + 4y = 22,20x + 4y = 56,2,4
9x + 6y = 96,7x + 6y = 84,6,7
7x + 5y = 47,14x + y = 22,1,8
7x + 8y = 47,20x + 2y = 30,1,5
9x + 12y = 81,10x + 2y = 56,5,3
17x + 10y = 181,3x + 11y = -5,13,-4
18x - 11y = 3,13x + 14y = 68,2,3
20x - 16y = 92,15x + 9y = 132,7,3
12x + 4y = 76,8x + 18y = 112,5,4
16x - 3y = 204,16x + 19y = 468,15,12
13x + 4y = 94,14x + 8y = 116,6,4
16x + 16y = 96,8x + 19y = 81,3,3
4x + 12y = 0,12x + 19y = 85,15,-5
4x + 15y = -70,7x + 10y = -25,5,-6
16x + 4y = 188,14x + 6y = 162,12,-1
19x + 3y = 196,11x + 18y = 146,10,2
4x + 2y = 2,7x + 7y = -7,2,-3
11x - 10y = 56,20x + 14y = 134,6,1
9x + 5y = 80,17x + 11y = 162,5,7
16x + 19y = 126,8x + 9y = 66,15,-6
2x - 3y = -12,14x + 9y = 276,12,12
12x + 17y = 179,19x + 3y = 116,5,7
17x + 6y = 110,14x + y = 63,4,7
10x + 12y = -6,12x + 4y = 76,9,-8
16x - 10y = -30,18x + 14y = 244,5,11
13x - 4y = 86,12x + 17y = 307,10,11
19x + 8y = 43,6x + 14y = 48,1,3
20x + 9y = 103,17x + 10y = 104,2,7
10x - 14y = -46,16x + 9y = 209,8,9
9x + 16y = 40,20x + 2y = 156,8,-2
14x + 14y = 210,6x + 14y = 130,10,5
13x + y = 67,13x + y = 67,5,2
3x + 9y = 45,8x + y = 74,9,2
3x + 19y = 59,9x + 20y = 103,7,2
15x + 11y = 144,4x + 2y = 30,3,9
16x + 8y = 136,18x + 3y = 123,6,5
13x + 15y = 166,13x + 13y = 156,7,5
19x + 19y = 228,15x + 20y = 220,4,8
7x + 11y = 50,19x + 2y = 275,15,-5
19x - 16y = -109,17x + 13y = 121,1,8
8x + 5y = 49,13x + 16y = 56,8,-3
10x + 9y = 60,19x + 5y = 235,15,-10
15x + 2y = 108,16x + 4y = 132,6,9
13x - 2y = 183,6x + 19y = 204,15,6
9x + 7y = 48,x + 8y = 27,3,3
13x + 10y = 135,5x + 18y = 151,5,7
17x + 6y = 57,3x + 8y = 17,3,1
3x + 2y = 16,20x + 16y = 80,12,-10
2x + 13y = 144,15x + 5y = 155,7,10
15x + 14y = 158,8x + y = 39,4,7
4x - 11y = -157,9x + 18y = 288,2,15
9x + 14y = 111,7x + 16y = 117,3,6
9x - 10y = -24,6x + 7y = 66,4,6
6x - 10y = -30,16x + 7y = 324,15,12
7x - 15y = -29,7x + 18y = 235,13,8
18x + 12y = 132,14x + 9y = 100,2,8
x + 18y = 99,11x + 4y = 119,9,5
17x + 8y = 176,8x + 12y = 124,8,5
17x + 19y = 178,13x + 15y = 138,6,4
15x + 8y = 177,8x + 12y = 48,15,-6
5x - 8y = -11,8x + 7y = 22,1,2
8x - 13y = -69,5x + 11y = 129,6,9
3x + 18y = -9,10x + 2y = 144,15,-3
15x + 15y = -45,9x + 2y = 43,7,-10
15x + 4y = 125,17x + 2y = 129,7,5
7x + 15y = -25,11x + 5y = 35,5,-4
17x + 12y = 94,12x + y = 29,2,5
10x + 6y = 132,11x + 15y = 204,9,7
4x + 9y = 89,17x + 11y = 133,2,9
8x + y = 33,x + 17y = 156,3,9
15x - 10y = 150,2x + 2y = 40,14,6
x + 7y = 42,18x + 8y = 166,7,5
4x + 3y = 26,20x + 16y = 120,14,-10
12x - 12y = -72,7x + 13y = 158,4,10
16x - 17y = 11,8x + 18y = 138,6,5
13x + 14y = 81,19x + 7y = 78,3,3
5x - 5y = 25,3x + 10y = 54,8,3
3x + 11y = -56,18x + 3y = 105,7,-7
13x + 11y = 81,6x + 18y = 102,2,5
6x + 2y = 36,16x + 7y = 101,5,3
17x - 3y = 108,13x + 4y = 177,9,15
12x + 9y = 147,3x + 8y = 77,7,7
3x + 2y = 14,13x + 3y = 89,8,-5
10x + y = 73,5x + 16y = 83,7,3
10x + 5y = 15,9x + 11y = -45,6,-9
8x - 13y = 20,13x + 2y = 125,9,4
7x + 5y = 52,9x + 20y = 94,6,2
14x + 10y = 116,14x + 2y = 68,4,6
15x + 15y = 60,19x + 16y = 106,14,-10
17x + 15y = 235,6x + 11y = 140,5,10
15x + 8y = 47,14x + 15y = 74,1,4
10x - 10y = 30,17x + 15y = 371,13,10
19x + 20y = -47,19x + 14y = 7,7,-9
20x + 17y = 319,8x + 11y = 157,10,7
8x + 12y = -72,15x + 16y = -83,3,-8
6x - 8y = -10,18x + 16y = 170,5,5
5x + 11y = 105,17x + 14y = 240,10,5
7x + y = 77,8x + 17y = 199,10,7
9x + 18y = 198,6x + 8y = 108,10,6
15x - 13y = -102,18x + 14y = 144,1,9
11x + 17y = -4,11x + 20y = -28,12,-8
13x - 13y = 39,19x + 13y = 441,15,12
5x + 18y = 100,3x + 3y = 21,2,5
6x + 14y = -36,16x + 8y = -8,1,-3
9x + 6y = 81,11x + 3y = 73,5,6
15x - 14y = -53,9x + 7y = 76,3,7
11x - 6y = 35,6x + 15y = 147,7,7
14x + 3y = 119,4x + 19y = -93,10,-7
20x + 13y = 129,14x + 9y = 91,11,-7
4x - 13y = -35,4x + 6y = 22,1,3
6x + 5y = 38,x + 5y = 23,3,4
6x + 6y = 72,9x + 16y = 171,3,9
7x + y = 24,3x + y = 12,3,3
19x + 6y = 108,5x + 4y = 26,6,-1
7x + 5y = 58,5x + 11y = 86,4,6
9x + 2y = 46,11x + 7y = 38,6,-4
11x + 11y = -11,8x + 4y = 12,4,-5
8x + 20y = -64,19x + 20y = -42,2,-4
10x + 7y = 98,17x + 6y = 143,7,4
15x - 12y = -27,10x + 20y = 290,7,11
11x + 9y = 10,20x + 16y = 20,5,-5
8x + 9y = 99,8x + 8y = 96,9,3
19x - 14y = -120,19x + 5y = 146,4,14
17x + 14y = 40,9x + 10y = 16,4,-2
2x + 11y = 95,18x + 13y = 253,9,7
12x + 3y = 39,9x + 14y = 88,2,5
16x + 5y = 152,18x + 20y = 286,7,8
10x + 18y = 200,14x + 15y = 178,2,10
17x + 4y = 107,16x + 14y = 70,7,-3
5x + 14y = 21,2x + 19y = -5,7,-1
6x + 19y = -127,12x + 12y = -72,1,-7
2x + 7y = -33,14x + 19y = 39,15,-9
3x + 10y = 114,11x + 12y = 196,8,9
5x + 8y = 49,15x + 18y = 129,5,3
3x + 7y = -16,17x + 16y = 75,11,-7
6x + 19y = 82,15x + 10y = 55,1,4
11x + 18y = 31,6x + 8y = 26,11,-5
4x - 14y = -178,16x + 6y = 218,8,15
14x + 5y = 170,15x + 19y = 264,10,6
11x - 7y = -43,15x + 3y = 117,5,14
8x + 18y = 62,19x + 20y = 170,10,-1
16x + 12y = 280,15x + 6y = 210,10,10
4x + 17y = 97,x + 17y = 88,3,5
20x - 9y = -88,17x + 9y = 125,1,12
8x + 15y = -73,14x + 18y = -70,4,-7
12x + 18y = -48,3x + 2y = -2,2,-4
5x + 6y = 59,6x + 14y = 98,7,4
8x - 16y = 8,3x + 9y = 93,13,6
11x + 14y = 136,20x + 9y = 165,6,5
13x + 8y = -33,13x + 6y = -15,3,-9
11x + 13y = 190,3x + 19y = 160,9,7
11x + 13y = 168,3x + 12y = 105,7,7
6x + 17y = 155,3x + 20y = 158,6,7
16x + 5y = 59,15x + 10y = 50,4,-1
15x + 8y = 152,3x + 17y = 92,8,4
16x + 19y = 197,4x + 16y = 128,4,7
13x + 8y = -46,2x + 15y = -131,2,-9
14x + 6y = 136,4x + 2y = 40,8,4
10x + 5y = 105,13x + 6y = 135,9,3
2x + 17y = 53,17x + 8y = 41,1,3
9x + 6y = 111,12x + 18y = 198,9,5
18x - 6y = 180,18x + 8y = 306,13,9
10x + 4y = 118,11x + 18y = 89,13,-3
x + 10y = 107,4x + 16y = 188,7,10
12x - 17y = 31,10x + 7y = 47,4,1
12x - 7y = 38,8x + 8y = 152,9,10
2x - 3y = -20,9x + 6y = 183,11,14
6x + 10y = 88,3x + 10y = 79,3,7
8x + 12y = 92,x + 2y = 12,10,1
2x - 13y = -70,19x + 13y = 154,4,6
5x + 2y = 36,9x + 8y = 34,10,-7
13x - 14y = 16,5x + 16y = 220,12,10
5x + 3y = 58,7x + 15y = 146,8,6
19x + 17y = 169,x + 8y = 16,8,1
15x + 11y = 192,5x + 13y = 36,15,-3
9x + 20y = 221,17x + 18y = 279,9,7
12x + 5y = 126,15x + 6y = 159,13,-6
16x - 9y = 91,7x + 11y = 234,13,13
5x + 17y = 24,6x + 9y = 63,15,-3
16x - 16y = -80,17x + 14y = 287,7,12
10x + 20y = -50,4x + 15y = -76,11,-8
7x - 17y = -224,3x + 3y = 48,2,14
11x + 20y = 182,13x + 16y = 154,2,8
7x + 20y = 55,12x + 19y = 79,5,1
5x + 13y = -42,18x + 5y = 16,2,-4
8x + 9y = -38,2x + 17y = -98,2,-6
20x + 2y = 188,3x + 6y = 51,9,4
12x + 8y = 32,20x + 11y = 58,4,-2
9x + 13y = 66,13x + 16y = 87,3,3
10x + 2y = 26,14x + 11y = 61,2,3
17x + 7y = 82,3x + 2y = 16,4,2
6x + 15y = 27,3x + 17y = 23,2,1
7x + 20y = 162,10x + 19y = 174,6,6
8x - 16y = -112,5x + 14y = 146,4,9
4x - 4y = 36,20x + 5y = 230,11,2
2x + 13y = -114,18x + 2y = 124,8,-10
12x + 10y = 106,12x + 10y = 106,8,1
11x - 13y = -20,15x + 4y = 190,10,10
10x + 15y = 165,14x + 17y = 203,6,7
2x + 6y = 38,9x + 6y = 45,1,6
19x - 14y = 91,2x + 18y = 68,7,3
3x - 4y = -30,16x + 3y = 59,2,9
13x + 2y = 31,3x + 15y = 138,1,9
14x + 6y = 188,9x + 17y = 226,10,8
19x + 8y = 219,18x + 16y = 258,9,6
18x + 8y = 76,16x + 11y = 52,6,-4
17x - 17y = 34,10x + 2y = 68,6,4
7x + 6y = 52,11x + 15y = 65,10,-3
x + 8y = 36,8x + 19y = 108,4,4
18x + 12y = 180,x + 10y = 38,8,3
6x + 8y = 78,7x + 19y = 120,9,3
2x - 12y = -138,2x + 4y = 86,15,14
15x - 15y = 60,5x + 10y = 110,10,6
14x - 13y = -84,6x + 5y = 112,7,14
13x - 16y = -195,14x + 4y = 66,1,13
15x + 11y = 204,2x + 16y = 158,7,9
6x + 2y = 60,13x + 15y = 66,12,-6
10x + 19y = 136,4x + 14y = 80,6,4
5x + 10y = -55,2x + 15y = -110,5,-8
10x + 4y = 60,7x + 13y = -9,8,-5
13x + 4y = 142,16x + 4y = 172,10,3
12x - 7y = 43,20x + 11y = 321,10,11
19x + 4y = 135,8x + 18y = 220,5,10
3x + y = 31,17x + 4y = 164,8,7
8x + 6y = 52,2x + 5y = -8,11,-6
17x + 3y = 47,15x + 14y = 155,1,10
13x + 13y = 234,15x + y = 144,9,9
14x + 18y = -4,10x + 8y = 2,1,-1
10x + 5y = 55,x + 9y = 82,1,9
9x + 15y = 240,11x + 13y = 240,10,10
11x + 7y = 169,9x + 9y = 171,9,10
17x + 5y = 47,16x + 13y = 94,1,6
3x - 13y = -104,20x + 18y = 458,13,11
10x - 6y = -42,4x + 4y = 60,3,12
3x + 14y = 161,2x + 10y = 114,7,10
5x + 15y = -30,11x + 15y = 6,6,-4
2x + 5y = -23,9x + 5y = 54,11,-9
9x + 5y = 75,15x + 7y = 117,5,6
17x + 19y = 165,10x + 15y = 120,3,6
11x + 18y = -56,13x + 7y = 48,8,-8
18x + 7y = 129,8x + 17y = 99,6,3
19x + 16y = 187,9x + 17y = 98,9,1
11x - 13y = 91,19x + 15y = 307,13,4
8x + 12y = 48,17x + 3y = 57,3,2
5x + 12y = -105,6x + 9y = -72,3,-10
14x + 19y = 60,13x + 12y = 67,7,-2
2x + 6y = 48,7x + 11y = 108,6,6
17x - 16y = 74,20x + 3y = 218,10,6
3x + 9y = -30,17x + 17y = -34,2,-4
x + 13y = 119,16x + 7y = 95,2,9
2x + 4y = 18,x + 16y = 37,5,2
3x - 5y = -31,17x + 7y = 107,3,8
18x - 9y = 135,5x + 4y = 135,15,15
4x - 5y = 30,5x + 2y = 87,15,6
13x - 13y = 130,13x + 5y = 148,11,1
3x + 18y = 186,13x + 5y = 149,8,9
7x - 10y = 39,10x + 19y = 89,7,1
3x + 7y = 22,13x + 17y = 82,5,1
17x + 16y = 198,10x + 17y = 162,6,6
18x + 13y = 258,14x + 13y = 218,10,6
19x + 7y = 140,x + 17y = 24,7,1
13x + 9y = 140,9x + 7y = 100,8,4
13x + 2y = 127,13x + 7y = 152,9,5
10x + 8y = 28,6x + 9y = 21,2,1
3x + 2y = 25,20x + 16y = 180,5,5
10x + 9y = 48,2x + 4y = 14,3,2
19x + 8y = 198,11x + 14y = 124,10,1
7x - 7y = 7,9x + 9y = 99,6,5
13x + 13y = 156,8x + 6y = 100,14,-2
4x + 20y = 32,17x + 13y = 64,3,1
7x - 9y = 51,4x + 3y = 78,15,6
9x + 9y = 117,18x + 14y = 194,3,10
6x + 10y = -46,10x + 16y = -72,4,-7
7x + 14y = 140,20x + 8y = 144,4,8
2x + 10y = 52,14x + 7y = 49,1,5
12x + y = 86,x + y = 9,7,2
5x + 19y = 78,16x + 15y = 158,8,2
3x + 12y = -15,10x + 6y = 52,7,-3
12x + 5y = 130,7x + 12y = 94,10,2
9x + 9y = 126,x + 14y = 79,9,5
13x + 5y = 115,13x + 20y = 70,10,-3
6x - 2y = 22,7x + 5y = 77,6,7
10x - 15y = -5,8x + 2y = 10,1,1
5x - 18y = -129,14x + 12y = 138,3,8
11x + 2y = 116,11x + 4y = 122,10,3
19x + 5y = 111,12x + 7y = 97,4,7
4x + 14y = -76,4x + 17y = -94,2,-6
5x + 4y = -31,2x + 19y = -169,1,-9
5x + 17y = 31,8x + 20y = 64,13,-2
14x - 17y = 100,11x + 14y = 188,12,4
10x + 18y = 140,20x + 3y = 115,5,5
4x + 12y = -108,15x + 6y = -15,3,-10
5x + 19y = -165,19x + 20y = -105,5,-10
3x + 6y = -45,7x + 9y = -65,1,-8
x + 7y = 78,15x + 2y = 140,8,10
16x + 7y = 1,17x + 7y = 5,4,-9
19x - 5y = 158,20x + 3y = 282,12,14
16x + 13y = 162,x + 5y = 52,2,10
4x + 16y = 176,8x + 4y = 100,8,9
18x + 5y = 169,12x + 6y = 126,8,5
5x - 6y = 22,13x + 14y = 294,14,8
18x + 3y = 177,7x + 14y = 133,9,5
20x + 14y = -80,16x + 3y = 18,3,-10
4x + 15y = 83,8x + 2y = 26,2,5
20x + 3y = -10,13x + 13y = -117,1,-10
9x + y = 66,12x + 20y = 144,7,3
6x + 17y = -92,14x + 13y = 52,13,-10
16x + 10y = 10,14x + 19y = -63,5,-7
x + 17y = 69,2x + 6y = 26,1,4
13x + 2y = 107,15x + 10y = 85,9,-5
17x - 9y = 88,10x + 3y = 143,11,11
18x + 16y = -30,11x + 3y = 2,1,-3
4x - 12y = -128,10x + 12y = 310,13,15
14x + 7y = 105,12x + 2y = 54,3,9
